MERRA_ID,YEAR,MONTH,REL_HUM_AVG_AVG
138347,2018,4,22
138347,2018,9,27
138348,2018,11,39
138349,2018,1,42
138349,2018,3,44
138349,2018,6,19
138922,2018,7,34
138924,2018,2,45
138924,2018,3,44
138924,2018,7,43
144732,2018,3,78
148770,2018,4,78
148770,2018,8,68
149346,2018,2,83
149346,2018,4,77
149346,2018,9,70
151077,2018,10,74
134319,2018,2,43
133786,2018,4,74
133787,2018,4,73
133786,2018,7,76
134319,2018,10,60
135515,2018,8,77
136090,2018,7,74
137194,2018,1,30
137194,2018,4,19
134361,2018,2,86
136620,2018,4,18
134361,2018,12,87
134895,2018,4,18
134895,2018,5,18
134895,2018,11,41
134896,2018,3,38
134896,2018,9,45
136045,2018,8,36
134943,2018,11,81
136045,2018,11,40
137241,2018,7,74
136621,2018,8,34
138346,2018,10,44
137243,2018,6,78
138347,2018,7,40
137819,2018,9,78
138349,2018,2,46
138349,2018,7,45
138349,2018,12,53
138922,2018,8,33
144732,2018,6,81
144732,2018,7,73
148770,2018,7,61
148770,2018,12,88
149346,2018,10,77
149922,2018,6,64
149922,2018,10,74
151077,2018,6,76
133786,2018,1,68
133787,2018,2,87
133786,2018,10,71
133790,2018,4,71
133790,2018,8,80
133790,2018,10,72
135515,2018,2,85
135515,2018,4,73
137194,2018,6,17
137194,2018,9,22
136620,2018,2,33
136620,2018,7,31
134896,2018,1,34
134896,2018,2,43
134896,2018,11,44
134943,2018,2,82
136045,2018,3,29
134943,2018,5,76
138346,2018,6,14
136090,2018,10,75
135515,2018,11,84
137241,2018,12,89
136621,2018,1,29
137241,2018,3,78
138347,2018,10,51
138348,2018,5,26
138348,2018,6,18
138348,2018,12,48
138922,2018,1,40
138922,2018,9,21
138924,2018,8,45
144732,2018,9,78
148770,2018,3,78
149346,2018,12,86
149922,2018,4,71
151077,2018,1,82
151077,2018,3,81
133790,2018,5,76
134895,2018,3,36
137819,2018,3,79
137819,2018,12,88
134896,2018,4,21
134896,2018,5,18
136045,2018,2,36
136045,2018,4,18
136045,2018,6,17
134943,2018,7,77
136045,2018,9,31
135515,2018,1,71
136620,2018,10,49
136621,2018,2,34
138346,2018,11,28
138347,2018,2,39
137243,2018,4,77
137243,2018,11,84
138347,2018,11,34
137819,2018,2,86
137819,2018,4,76
137819,2018,10,74
138347,2018,5,25
138349,2018,11,43
138922,2018,2,39
138922,2018,11,32
138924,2018,11,41
138348,2018,7,43
148770,2018,11,84
149346,2018,1,82
149922,2018,1,80
149922,2018,5,65
149922,2018,8,67
149922,2018,9,67
149922,2018,11,80
149922,2018,12,83
151077,2018,8,76
151077,2018,9,73
133786,2018,5,71
133786,2018,11,84
133790,2018,3,65
133790,2018,9,77
134319,2018,8,55
134319,2018,12,53
135515,2018,6,77
135515,2018,12,88
137194,2018,8,28
137243,2018,8,75
137243,2018,10,72
136620,2018,1,30
134361,2018,4,75
134361,2018,5,72
134361,2018,9,73
134895,2018,1,30
137819,2018,6,80
134896,2018,6,22
134896,2018,8,52
136045,2018,1,31
137241,2018,6,76
134943,2018,8,78
136621,2018,7,31
137194,2018,7,28
137241,2018,2,85
137819,2018,5,81
138348,2018,10,56
138349,2018,10,61
138922,2018,4,21
138922,2018,6,14
138922,2018,12,47
138924,2018,5,27
144732,2018,2,84
144732,2018,10,78
138924,2018,12,50
148770,2018,5,75
148770,2018,6,68
148770,2018,10,78
149346,2018,11,82
151077,2018,2,86
133786,2018,8,81
133787,2018,9,77
133786,2018,12,88
133787,2018,12,88
133790,2018,1,75
133790,2018,12,88
134319,2018,3,37
134319,2018,5,20
134319,2018,11,43
136090,2018,6,76
134361,2018,8,80
134361,2018,11,84
134895,2018,8,49
134896,2018,12,55
137241,2018,1,74
138346,2018,4,19
136045,2018,5,20
137241,2018,5,78
138346,2018,9,21
136045,2018,10,54
136090,2018,1,73
136045,2018,12,48
136090,2018,5,77
136090,2018,8,76
136621,2018,4,16
136621,2018,6,15
136621,2018,9,26
136621,2018,10,51
137194,2018,12,41
137243,2018,1,73
138347,2018,1,36
137243,2018,7,76
137243,2018,12,89
138347,2018,12,44
137819,2018,8,78
138346,2018,8,31
138348,2018,8,45
138348,2018,9,34
138349,2018,8,47
138922,2018,3,39
138922,2018,10,46
144732,2018,1,81
144732,2018,5,79
144732,2018,11,85
138924,2018,6,18
138924,2018,9,34
148770,2018,1,83
149346,2018,6,67
133787,2019,2,87
134319,2019,2,56
133787,2019,4,76
133786,2019,10,67
133787,2019,11,75
133790,2019,3,75
134319,2019,3,45
134319,2019,5,34
135515,2019,3,78
134361,2019,6,67
134361,2019,11,77
134895,2019,7,33
134896,2019,4,37
134896,2019,6,21
