MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
138922,2015,9,0.32,6099.4
144732,2015,7,0.5,6387.3
149346,2015,2,0.73,2417.7
149922,2015,4,0.57,5037.2
149922,2015,6,0.56,6351.7
151077,2015,1,0.7,1479
151077,2015,3,0.6,3718.4
133786,2015,1,0.57,3324
133786,2015,4,0.68,4919
133786,2015,11,0.46,3790.6
133790,2015,11,0.47,3571.4
134319,2015,4,0.23,7571.7
134896,2015,2,0.27,4937.4
134361,2015,3,0.53,4985.4
134361,2015,7,0.63,5852.8
134361,2015,12,0.55,2678
134895,2015,2,0.27,4858.4
134896,2015,7,0.59,5634.4
134943,2015,2,0.5,4001.9
134943,2015,9,0.68,4455.9
136090,2015,1,0.55,3106.8
136090,2015,12,0.58,2565.5
136621,2015,5,0.31,7815.1
