MERRA_ID,YEAR,MONTH,TEMP_AVG,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW
136045,2015,5,23.6,23.7,0,0
136045,2015,8,34.3,34.5,0,0
136045,2015,12,10.2,11,0,4
136620,2015,3,19.9,20.3,0,0
136620,2015,9,31,31.4,0,0
136620,2015,10,24.5,25,0,0
136621,2015,4,21.8,22,0,0
136621,2015,5,24,24.2,0,0
137194,2015,2,17.6,18.3,0,0
137194,2015,3,20.4,20.7,0,0
137194,2015,11,14.5,15.5,0,0
137241,2015,8,25.7,26.3,0,0
137243,2015,10,15.9,16.3,0,0
137243,2015,11,12.5,13,0,3
138346,2015,4,18.9,19,0,0
138346,2015,5,21.7,21.5,0,0
138347,2015,9,25.3,25.6,0,0
138348,2015,3,11.8,12.2,0,4
138349,2015,7,23.5,23.5,0,0
138349,2015,10,15.1,15.8,0,0
138349,2015,12,1.8,2.8,17,24
138924,2015,1,4.4,5.8,8,15
138924,2015,4,11.5,11.8,0,4
138924,2015,7,23.3,23.2,0,0
138924,2015,8,24.7,24.7,0,0
148770,2015,8,20.9,21,0,0
149346,2015,8,20.7,20.9,0,0
149346,2015,11,5.9,6,3,10
149346,2015,12,2.6,2.6,12,14
149922,2015,4,5.1,5.4,4,18
149922,2015,7,20.7,20.5,0,0
149922,2015,10,8.5,8.5,0,7
149922,2015,11,5.1,5.3,7,15
151077,2015,1,-15.3,-15.7,487,1
133786,2015,2,7.7,8,1,9
133787,2015,9,24.7,25.1,0,0
134319,2015,10,19.8,20.6,0,0
134361,2015,5,23.5,23.6,0,0
134896,2015,2,12.4,13.3,0,0
135515,2015,5,22.5,22.5,0,0
136045,2015,4,21.6,21.7,0,0
136090,2015,2,4.2,4.6,5,18
136090,2015,6,26.2,26.7,0,0
136620,2015,2,16.7,17.2,0,0
136621,2015,3,20.2,20.6,0,0
137243,2015,9,22.2,22.8,0,0
137243,2015,12,12.4,12.7,0,4
137819,2015,11,11.5,12,0,4
138346,2015,9,29.3,29.4,0,0
138347,2015,2,11.8,12.6,0,1
138347,2015,4,15.2,15.4,0,0
138349,2015,3,10.6,11.3,0,5
138922,2015,7,29.4,29.3,0,0
138922,2015,11,9.4,10.3,0,5
138922,2015,12,6.1,7.3,0,12
138924,2015,5,14.3,14.3,0,0
138924,2015,11,4.5,5.7,1,21
144732,2015,8,21.4,21.4,0,0
148770,2015,2,-14.6,-14.7,413,0
148770,2015,5,14.7,14.6,0,1
149346,2015,6,16.7,16.6,0,0
149922,2015,2,-14.8,-15,419,0
149922,2015,8,20.1,20.3,0,0
149922,2015,12,2,2.2,20,15
151077,2015,3,-6.6,-7.1,220,15
151077,2015,4,4.6,5,10,20
151077,2015,10,6.3,6.3,1,13
151077,2015,12,-1.3,-1.2,69,22
133786,2016,9,25.9,26.4,0,0
133787,2016,5,22.5,22.4,0,0
133787,2016,8,27.7,28.1,0,0
133790,2016,4,19.9,20.4,0,0
134319,2016,3,15.6,16.3,0,0
134361,2016,8,28.2,28.6,0,0
134361,2016,12,12.3,12.6,0,3
134895,2016,5,22.4,22.3,0,0
134895,2016,10,23.6,24.3,0,0
135515,2016,7,29.8,29.9,0,0
135515,2016,12,10.7,11.1,0,5
136045,2016,4,21.6,21.7,0,0
136090,2016,8,28,28.6,0,0
136621,2016,7,35.7,35.6,0,0
136621,2016,12,13.2,13.9,0,0
137194,2016,1,11.2,12,0,1
137194,2016,3,20,20.3,0,0
137194,2016,4,22.2,22.2,0,0
137194,2016,10,25.9,26.5,0,0
137243,2016,9,25.2,25.8,0,0
137819,2016,1,2.2,2.7,20,23
137819,2016,10,18.3,19.3,0,0
138346,2016,11,15.6,16.5,0,0
138347,2016,1,6,7,0,13
138347,2016,2,11,12.3,0,6
138347,2016,11,12.4,13.3,0,4
138348,2016,1,3.4,4.5,4,20
138348,2016,7,26.9,26.9,0,0
