MERRA_ID,YEAR,MONTH,PRECIPITATION,EVAPORATION,PRECIP_DAYS
137194,2015,2,6.28,17.91,28
137194,2015,3,26.62,26.15,31
137243,2015,8,80.02,109.51,31
137243,2015,10,177.49,95.43,31
137243,2015,11,194.42,62.13,30
137819,2015,6,193.25,131.11,30
137819,2015,12,217.75,48.52,31
138346,2015,6,4.44,9.56,30
136620,2015,2,1.46,18.2,28
136620,2015,10,10.53,25.5,31
138348,2015,10,44.19,28.24,31
134895,2015,7,101.96,47.53,31
134896,2015,1,82.63,20.63,31
134896,2015,2,3.68,32.2,28
134896,2015,11,12.01,26.37,30
138346,2015,1,15.34,13.12,31
134943,2015,11,119.66,70.53,30
138346,2015,8,18.97,18.16,31
137241,2015,12,197.88,53.06,31
138346,2015,12,13.99,4.26,31
138347,2015,6,8.86,23.24,30
138349,2015,11,22.21,23.57,30
138922,2015,2,19.17,20.06,28
138922,2015,12,12.76,5.63,31
138924,2015,1,38.44,13.23,31
138924,2015,11,22.71,16.94,30
144732,2015,1,97.69,14.44,31
138922,2015,8,33.7,19.72,31
144732,2015,7,126.73,146.61,31
148770,2015,1,57.99,18.98,31
148770,2015,5,82.14,72.81,31
148770,2015,7,83.62,77.23,31
148770,2015,10,104.76,41.2,31
149346,2015,2,40.99,11.93,28
149346,2015,7,61.66,66.89,31
149922,2015,5,116.87,38.63,31
151077,2015,2,29.77,11.8,28
133786,2015,7,70.28,113.14,31
133790,2015,10,58.64,106.95,31
134319,2015,11,15.53,25.57,30
133787,2015,12,75.03,47.87,31
134895,2015,5,2.84,15.26,31
134895,2015,9,70.2,48.49,30
134896,2015,8,39.03,56.55,31
134896,2015,9,118.29,49.43,30
134943,2015,6,87.63,100.92,30
134943,2015,12,70.77,47.19,31
135515,2015,7,50.64,104.84,31
135515,2015,9,143.29,77.12,30
136045,2015,8,77.86,16.25,31
136620,2015,1,15.98,13.72,31
137194,2015,5,6.6,11.97,31
137194,2015,7,33.07,18,31
137243,2015,9,149.47,92.83,30
138347,2015,5,30.09,27.15,31
138347,2015,10,25.06,26.68,31
138347,2015,11,18.64,16.18,30
138348,2015,9,19.87,34.56,30
134361,2015,3,79.8,100.01,31
138348,2015,3,79.06,41.81,31
134896,2015,5,4.28,33.28,31
134896,2015,12,14.34,17.12,31
136045,2015,4,0.46,4.19,30
137241,2015,4,201.62,120.06,30
136621,2015,12,3.87,6.61,31
138348,2015,12,32.38,12.33,31
138922,2015,3,35.88,33.86,31
144732,2015,3,104.09,38.49,31
149346,2015,1,71.68,15.09,31
149346,2015,8,54.37,57.42,31
149346,2015,9,34.26,51.3,30
151077,2015,12,116.2,9.88,31
148770,2015,2,45.26,13.94,28
133790,2015,2,120.2,65.46,28
133790,2015,11,96.29,70.02,30
133787,2015,5,41.77,153.9,31
134319,2015,1,85.94,23.4,31
134319,2015,8,39.18,53.95,31
134895,2015,2,3.83,31.77,28
134895,2015,8,31.53,53.47,31
134895,2015,11,6.68,24.07,30
135515,2015,2,112.8,55.68,28
135515,2015,4,177.06,121.38,30
135515,2015,5,55.3,160.19,31
135515,2015,8,63.07,103.28,31
136045,2015,7,77.14,12.12,31
136620,2015,8,19.68,14.84,31
136621,2015,9,36.33,16.88,30
136621,2015,10,11.25,23.98,31
137194,2015,8,9.43,9.09,31
137241,2015,6,73.68,134.03,30
137241,2015,7,72.16,110.27,31
138348,2015,6,17.39,42.13,30
136620,2015,7,54.27,18.03,31
134896,2015,3,18.76,40.03,31
134896,2015,6,16.32,25.36,30
134943,2015,9,109.84,111.93,30
136621,2015,7,83.25,15.01,31
137241,2015,5,91.04,157.97,31
137241,2015,11,215.57,63.3,30
137243,2015,4,180.24,122.18,30
137819,2015,8,97.69,108.53,31
138349,2015,2,14.34,27.8,28
138349,2015,7,24.74,59.54,31
138349,2015,9,15.82,41,30
138922,2015,11,8.01,13.67,30
