STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1007,1995,8,"FHWA Class 8 (Four or less axle, one trailer truck)",3.740000009536743,-1.659999966621399,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.9700000286102295,8.279999732971191,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,12,"FHWA Class 12 (Six axle, multi trailer truck)",2.0899999141693115,4.159999847412109,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,7,FHWA Class 7 (Four or more axle Single-unit truck),0.07999999821186066,15.300000190734863,linear,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,9,"FHWA Class 9 (Five axle, one trailer truck)",69.72000122070312,6.269999980926514,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,9,"FHWA Class 9 (Five axle, one trailer truck)",68.9000015258789,11.149999618530273,linear,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",8.520000457763672,-0.10000000149011612,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",6.590000152587891,7.269999980926514,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.5699999928474426,2.0199999809265137,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.5199999809265137,6.800000190734863,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.09000000357627869,9.59000015258789,compound,6,Bad - No monitoring data are present.,3054
4,Arizona,1007,1978,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.18000000715255737,6.860000133514404,compound,6,Bad - No monitoring data are present.,940
4,Arizona,1007,1995,7,FHWA Class 7 (Four or more axle Single-unit truck),0.07000000029802322,0,linear,6,Bad - No monitoring data are present.,3054
4,Arizona,1015,1979,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",15.930000305175781,9.199999809265137,compound,6,Bad - No monitoring data are present.,115
4,Arizona,1015,1997,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",15.65999984741211,9.029999732971191,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1997,12,"FHWA Class 12 (Six axle, multi trailer truck)",0.5600000023841858,8.600000381469727,compound,6,Bad - No monitoring data are present.,542
4,Arizona,1015,1979,12,"FHWA Class 12 (Six axle, multi trailer truck)",0.6700000166893005,7.980000019073486,compound,6,Bad - No monitoring data are present.,115
