STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1015,2,2006,1240,452600
4,Arizona,1015,2,2007,1353,493845
4,Arizona,1015,2,2008,1476,540216
4,Arizona,1015,2,2009,1610,587650
4,Arizona,1015,2,2010,1756,640940
4,Arizona,1015,2,2011,1916,699340
4,Arizona,1015,2,2012,2090,764940
4,Arizona,1015,2,2013,2280,832200
4,Arizona,1015,2,2014,2487,907755
4,Arizona,1015,2,2015,2713,990245
4,Arizona,1015,1,1980,157,57462
4,Arizona,1016,2,1996,699,255834
4,Arizona,1016,2,1997,500,182500
4,Arizona,1016,2,1998,559,204035
4,Arizona,1016,3,1998,559,204035
4,Arizona,1016,3,1999,602,219730
4,Arizona,1016,3,2000,648,237168
4,Arizona,1016,3,2001,697,254405
4,Arizona,1016,3,2002,751,274115
4,Arizona,1016,3,2003,808,294920
4,Arizona,1016,3,2004,870,318420
4,Arizona,1016,3,2005,936,341640
4,Arizona,1016,3,2006,1008,367920
4,Arizona,1016,3,2007,1085,396025
4,Arizona,1016,3,2008,1168,427488
4,Arizona,1016,3,2009,1257,458805
4,Arizona,1016,3,2010,1353,493845
4,Arizona,1016,3,2011,1457,531805
4,Arizona,1016,3,2012,1568,573888
4,Arizona,1016,3,2013,1688,616120
4,Arizona,1016,3,2014,1818,663570
4,Arizona,1016,3,2015,1957,714305
4,Arizona,1016,3,2016,2106,770796
4,Arizona,1016,3,2017,2267,827455
4,Arizona,1016,3,2018,2410,879650
4,Arizona,1016,3,2019,2500,912500
4,Arizona,1016,3,2020,2600,951600
4,Arizona,1016,3,2021,2700,985500
4,Arizona,1016,3,2022,2800,1022000
4,Arizona,1016,3,2023,2900,1058500
4,Arizona,1016,3,2024,3000,1098000
4,Arizona,1016,1,1979,221,80665
4,Arizona,1016,1,1980,154,56364
4,Arizona,1016,1,1981,168,61320
4,Arizona,1016,1,1982,162,59130
4,Arizona,1016,1,1983,168,61320
4,Arizona,1016,1,1984,179,65514
4,Arizona,1016,1,1985,162,59130
4,Arizona,1016,1,1986,174,63510
4,Arizona,1016,1,1987,214,78110
4,Arizona,1016,1,1988,297,108702
4,Arizona,1016,1,1989,282,102930
4,Arizona,1016,1,1990,310,113150
4,Arizona,1016,1,1991,475,173375
4,Arizona,1016,1,1992,500,183000
4,Arizona,1016,1,1993,306,111690
4,Arizona,1016,1,1994,469,171185
4,Arizona,1016,1,1995,393,143445
4,Arizona,1016,1,1996,699,255834
4,Arizona,1016,1,1997,500,182500
4,Arizona,1016,1,1998,559,204035
4,Arizona,1016,2,1991,475,173375
4,Arizona,1016,2,1992,500,183000
4,Arizona,1016,2,1993,306,111690
4,Arizona,1016,2,1994,469,171185
4,Arizona,1016,2,1995,393,143445
4,Arizona,1017,3,2000,1193,436638
4,Arizona,1017,3,1999,774,282510
4,Arizona,1017,3,2002,554,202210
4,Arizona,1017,3,2003,4680,1708200
4,Arizona,1017,3,2004,768,281088
4,Arizona,1017,3,2005,789,287985
4,Arizona,1017,3,2006,855,312075
4,Arizona,1017,3,2007,946,345290
4,Arizona,1017,3,2008,902,330132
4,Arizona,1017,3,2009,1043,380695
4,Arizona,1017,3,2010,1099,401135
4,Arizona,1017,3,2011,1157,422305
4,Arizona,1017,3,2012,1219,446154
4,Arizona,1017,3,2013,1283,468295
4,Arizona,1017,3,2014,1352,493480
4,Arizona,1017,3,2015,1424,519760
4,Arizona,1017,3,2016,1499,548634
4,Arizona,1017,3,2017,1579,576335
4,Arizona,1017,3,2018,1331,485815
4,Arizona,1017,3,2019,1362,497130
4,Arizona,1017,4,2012,1219,446154
4,Arizona,1017,4,2013,1283,468295
4,Arizona,1017,4,2014,1352,493480
4,Arizona,1017,4,2015,1424,519760
4,Arizona,1017,4,2016,1499,548634
4,Arizona,1017,4,2017,1579,576335
4,Arizona,1017,4,2018,1331,485815
4,Arizona,1017,4,2019,1362,497130
4,Arizona,1017,1,1976,268,98088
4,Arizona,1017,1,1977,308,112420
4,Arizona,1017,1,1978,228,83220
4,Arizona,1017,1,1979,224,81760
4,Arizona,1017,1,1980,240,87840
4,Arizona,1017,1,1981,232,84680
4,Arizona,1017,1,1982,224,81760
4,Arizona,1017,1,1983,232,84680
4,Arizona,1017,1,1984,248,90768
4,Arizona,1017,1,1985,272,99280
4,Arizona,1017,1,1986,304,110960
4,Arizona,1017,1,1987,328,119720
4,Arizona,1017,1,1988,440,161040
4,Arizona,1017,1,1989,440,160600
4,Arizona,1017,1,1990,390,142350
4,Arizona,1017,1,1991,475,173375
4,Arizona,1017,1,1992,500,183000
4,Arizona,1017,1,1993,161,58765
4,Arizona,1017,1,1994,317,115705
4,Arizona,1017,1,1995,299,109135
4,Arizona,1017,1,1996,346,126636
4,Arizona,1017,1,1997,597,78804
4,Arizona,1017,2,1989,440,160600
4,Arizona,1017,2,1990,390,142350
4,Arizona,1017,2,1991,475,173375
4,Arizona,1017,2,1992,500,183000
4,Arizona,1017,2,1993,161,58765
4,Arizona,1017,2,1994,317,115705
