STATE_CODE,STATE_CODE_EXP,SHRP_ID,EXPERIMENT_NO,EXPERIMENT_NO_EXP,GPS_SPS,GPS_SPS_EXP,REP_PERCENT_VEH_CLASS_4,REP_PERCENT_VEH_CLASS_5,REP_PERCENT_VEH_CLASS_6,REP_PERCENT_VEH_CLASS_7,REP_PERCENT_VEH_CLASS_8,REP_PERCENT_VEH_CLASS_9,REP_PERCENT_VEH_CLASS_10,REP_PERCENT_VEH_CLASS_11,REP_PERCENT_VEH_CLASS_12,REP_PERCENT_VEH_CLASS_13
39,Ohio,0104,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0104,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
39,Ohio,0111,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,3,11,3,3,6,70,1,2,0,1
39,Ohio,0111,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0112,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0112,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
39,Ohio,0159,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,10,4,3,6,71,1,2,0,0
39,Ohio,0159,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0160,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0160,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,10,4,3,6,71,1,2,0,0
