STATE_CODE,STATE_CODE_EXP,SHRP_ID,VEHICLE_CLASS,VEHICLE_CLASS_EXP,SINGLE_AXLES,TANDEM_AXLES,TRIDEM_AXLES,QUAD_AXLES
4,Arizona,6053,9,"FHWA Class 9 (Five axle, one trailer truck)",1.21,1.9,0,0
4,Arizona,6053,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.38,0.52,0,0
4,Arizona,6053,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1,0.02,0
4,Arizona,6053,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.97,0.02,0.02,0
4,Arizona,6053,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.01,0.99,1.01,0.06
4,Arizona,6053,4,FHWA Class 4 (Buses),1.16,0.84,0,0
4,Arizona,6053,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.23,2.78,0.97,0.93
4,Arizona,6053,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0.88,0.91,0
4,Arizona,6053,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,6054,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,0.92,1.08,0
4,Arizona,6054,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.62,0.56,0,0
4,Arizona,6054,4,FHWA Class 4 (Buses),1.06,0.94,0,0
4,Arizona,6054,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,0,0
4,Arizona,6054,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,6054,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,6054,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,6054,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,6054,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1,3,0,0
4,Arizona,6054,9,"FHWA Class 9 (Five axle, one trailer truck)",1.13,1.93,0,0
4,Arizona,6055,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,6055,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,6055,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.46,2.79,0.32,0.12
4,Arizona,6055,9,"FHWA Class 9 (Five axle, one trailer truck)",1.21,1.9,0,0
4,Arizona,6055,12,"FHWA Class 12 (Six axle, multi trailer truck)",4,1,0,0
4,Arizona,6055,7,FHWA Class 7 (Four or more axle Single-unit truck),1.03,0.13,0.96,0
4,Arizona,6055,4,FHWA Class 4 (Buses),1.27,0.73,0,0
4,Arizona,6055,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,6055,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.03,1.17,0.77,0.04
4,Arizona,6055,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.22,0.83,0,0
4,Arizona,6060,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0.42,0.58,0
4,Arizona,6060,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.1,1.05,0.9,0
4,Arizona,6060,9,"FHWA Class 9 (Five axle, one trailer truck)",1.09,1.95,0,0
4,Arizona,6060,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,6060,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.42,0.64,0,0
4,Arizona,6060,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.49,2.63,0.81,0.35
4,Arizona,6060,4,FHWA Class 4 (Buses),1.16,0.84,0,0
4,Arizona,6060,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.99,0.06,0,0
4,Arizona,6060,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.95,1.02,0.13,0
4,Arizona,6060,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",1.99,0.01,0,0
13,Georgia,1001,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1.5,0.5,0
13,Georgia,1001,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
13,Georgia,1001,12,"FHWA Class 12 (Six axle, multi trailer truck)",0,0,0,0
13,Georgia,1001,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0,0,0,0
13,Georgia,1001,4,FHWA Class 4 (Buses),1.22,0.92,0,0
13,Georgia,1001,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,1001,6,FHWA Class 6 (Three axle Single-unit truck),1.02,0.98,0,0
13,Georgia,1001,7,FHWA Class 7 (Four or more axle Single-unit truck),1,1,0,0
13,Georgia,1001,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.53,0.47,0,0
13,Georgia,1001,9,"FHWA Class 9 (Five axle, one trailer truck)",1.1,1.94,0,0
13,Georgia,1004,7,FHWA Class 7 (Four or more axle Single-unit truck),0.8,0.5,0.1,0.25
13,Georgia,1004,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.01,1.31,0.68,0.01
13,Georgia,1004,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
13,Georgia,1004,4,FHWA Class 4 (Buses),1.47,0.62,0,0
13,Georgia,1004,9,"FHWA Class 9 (Five axle, one trailer truck)",1.1,1.95,0,0
13,Georgia,1004,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.66,2.66,0,0
13,Georgia,1004,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.42,0.58,0,0
13,Georgia,1004,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,1004,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1.01,0,0
13,Georgia,1004,6,FHWA Class 6 (Three axle Single-unit truck),1.01,0.99,0,0
13,Georgia,1005,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.01,1.31,0.68,0.01
13,Georgia,1005,9,"FHWA Class 9 (Five axle, one trailer truck)",1.1,1.95,0,0
13,Georgia,1005,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.42,0.58,0,0
13,Georgia,1005,7,FHWA Class 7 (Four or more axle Single-unit truck),0.8,0.5,0.1,0.25
13,Georgia,1005,6,FHWA Class 6 (Three axle Single-unit truck),1.01,0.99,0,0
13,Georgia,1005,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,1005,4,FHWA Class 4 (Buses),1.47,0.62,0,0
13,Georgia,1005,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.66,2.66,0,0
13,Georgia,1005,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1.01,0,0
13,Georgia,1005,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
13,Georgia,1031,12,"FHWA Class 12 (Six axle, multi trailer truck)",0,0,0,0
13,Georgia,1031,7,FHWA Class 7 (Four or more axle Single-unit truck),1,1,0,0
13,Georgia,1031,4,FHWA Class 4 (Buses),1,1,0,0
13,Georgia,1031,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0,0,0,0
13,Georgia,1031,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0,0,0,0
13,Georgia,1031,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.5,0.5,0,0
13,Georgia,1031,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",0,0,0,0
13,Georgia,1031,6,FHWA Class 6 (Three axle Single-unit truck),1.03,0.96,0.01,0
13,Georgia,1031,9,"FHWA Class 9 (Five axle, one trailer truck)",1.11,1.94,0,0
13,Georgia,1031,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,4092,6,FHWA Class 6 (Three axle Single-unit truck),1.17,0.8,0.02,0
13,Georgia,4092,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.75,0.25,0,0
13,Georgia,4092,9,"FHWA Class 9 (Five axle, one trailer truck)",1.04,1.96,0,0
13,Georgia,4092,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
13,Georgia,4092,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,4092,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0,0,0,0
13,Georgia,4092,12,"FHWA Class 12 (Six axle, multi trailer truck)",0,0,0,0
13,Georgia,4092,7,FHWA Class 7 (Four or more axle Single-unit truck),1,1,0,0
13,Georgia,4092,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0,0,0,0
13,Georgia,4092,4,FHWA Class 4 (Buses),1,1,0,0
13,Georgia,4093,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.75,0.25,0,0
13,Georgia,4093,6,FHWA Class 6 (Three axle Single-unit truck),1.17,0.8,0.02,0
13,Georgia,4093,4,FHWA Class 4 (Buses),1,1,0,0
13,Georgia,4093,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0,0,0,0
13,Georgia,4093,7,FHWA Class 7 (Four or more axle Single-unit truck),1,1,0,0
13,Georgia,4093,12,"FHWA Class 12 (Six axle, multi trailer truck)",0,0,0,0
13,Georgia,4093,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
13,Georgia,4093,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0,0,0,0
13,Georgia,4093,9,"FHWA Class 9 (Five axle, one trailer truck)",1.04,1.96,0,0
13,Georgia,4093,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
13,Georgia,4096,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0,0,0,0
13,Georgia,4096,6,FHWA Class 6 (Three axle Single-unit truck),0,0,0,0
13,Georgia,4096,8,"FHWA Class 8 (Four or less axle, one trailer truck)",0,0,0,0
13,Georgia,4096,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",0,0,0,0
13,Georgia,4096,7,FHWA Class 7 (Four or more axle Single-unit truck),0,0,0,0
