column,group,null_pct_full_df,dtype,in_iri_dataset,in_rutting_dataset,in_distress_dataset,is_model_feature,imputed
TRF_ALDF_MEPDG_LG04,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG05,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG06,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG07,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG08,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG09,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG10,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG11,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG12,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG13,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG14,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG15,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG16,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG17,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG18,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG19,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG20,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG21,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG22,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG23,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG24,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG25,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG26,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG27,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG28,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG29,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG30,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG31,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG32,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG33,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG34,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG35,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG36,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG37,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG38,TRAFFIC,0.0,float64,True,True,True,True,False
CLIM_TEMP_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_PRECIPITATION,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_EVAPORATION,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_PRECIP_DAYS,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
