STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
13,Georgia,4093,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4096,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4096,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand,216,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4111,1,1,SS,Subgrade (untreated),,Fine-Grained Soils: Sandy Clay,113,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4111,1,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,208.28,5,Base Layer,100,100,100,97,84.5,77.5,70.5,56,48,29,18,8.699999809265137,0,0,,A-1-a,502,2.681999921798706,2162.7,9,79.293,838.729,0.7929999828338623,-0.38499999046325684,0.3499999940395355,0.05054
13,Georgia,4112,1,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand,202,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4112,2,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand,202,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4112,3,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand,202,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4113,1,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand with Silt,204,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Georgia,4113,2,1,SS,Subgrade (untreated),,Coarse-Grained Soils: Poorly Graded Sand with Silt,204,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
