TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_UNIT,FIELD_CODETYPE,UNIT_SYSTEM
ANALYSIS_DIS_CRCP,LONG_SPALLING_L_FLAG,Longitudinal Spalling Length Outlier Type,Flag indicating that the longitudinal spalling length is a potential anomaly.,,PERFORMANCE_FLAG,
ANALYSIS_DIS_CRCP,LONG_SPALLING_L_FLAG_EXP,Longitudinal Spalling Length Outlier Type (Code Expansion),Flag indicating that the longitudinal spalling length is a potential anomaly. (Code Expansion),,,
ANALYSIS_DIS_CRCP,PAVEMENT_FAMILY,Pavement Family,Code indicating pavement family assigned based on experiment design and layer structure of the pavement section.,,PAVEMENT_FAMILY,
ANALYSIS_DIS_CRCP,PAVEMENT_FAMILY_EXP,Pavement Family (Code Expansion),Code indicating pavement family assigned based on experiment design and layer structure of the pavement section. (Code Expansion),,,
ANALYSIS_DIS_JPCC,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,
ANALYSIS_DIS_JPCC,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,STATE_PROVINCE,
ANALYSIS_DIS_JPCC,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,
ANALYSIS_DIS_JPCC,SURVEY_DATE,Survey Date,Date survey was performed.,,,
ANALYSIS_DIS_JPCC,CONSTRUCTION_NO,Construction Number,Event number used to relate changes in pavement structure with other time dependent data elements. This field is set to 1 when a test section is initially accepted into LTPP and is incremented with each change to the layer structure.,,,
ANALYSIS_DIS_JPCC,HPMS16_CRACKING_PERCENT_JPCC,2016 HPMS JPCC Cracking Percentage,Percent of section cracked using 2016 HPMS definitions. Includes longitudinal and transverse cracking at least half slab width in length.,%,,Metric
ANALYSIS_DIS_JPCC,MEPDG_CRACKING_PERCENT_JPCC,MEPDG JPCC Cracking Percentage,"Percent of slabs cracked computed from the total number of transverse cracks on a test section divided by the ratio of joint spacing and test section length, times 100. This value is truncated to a maximum value of 100 percent.",%,,Metric
ANALYSIS_DIS_JPCC,ME_PERCENT_CRACKED_SLABS,MEPDG Percentage of Cracked Slabs,Percentage of cracked slabs based on the actual number of slabs in the test section divided by the slabs with transverse cracks that intercepted the outside lane edge and at least 1 foot long.,%,,Metric
ANALYSIS_DIS_JPCC,SURVEY_WIDTH,Survey Width,Width of pavement surveyed for distress measurements.,m,,Metric
ANALYSIS_DIS_JPCC,JT_SEALED,Joint Sealed Code,Code indicating if transverse joints were sealed.,,Y_N,
ANALYSIS_DIS_JPCC,JT_SEALED_EXP,Joint Sealed Code (Code Expansion),Code indicating if transverse joints were sealed. (Code Expansion),,,
ANALYSIS_DIS_JPCC,TRANS_CRACK_L,Transverse Crack Length,Total length of transverse cracking.,m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_L_L,Low Severity Transverse Crack Length,"Length of low severity transverse cracking. (Crack widths less than 3 mm, no spalling and no measurable faulting.)",m,,Metric
ANALYSIS_DIS_JPCC,TRANS_CRACK_L_M,Medium Severity Transverse Crack Length,Length of moderate severity transverse cracking. (Crack widths between 3 and 6 mm or spalling under 75 mm or faulting up to 6 mm.),m,,Metric
