STATE_CODE,STATE_CODE_EXP,SHRP_ID,LAYER_NO,CONSTRUCTION_NO,TEST_TEMPERATURE,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1024,6,8,-10,CREEP_COMP_50_SEC,0.125,0.13,0.1275,0.1275,0.00353553,0.02772968,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_1_SEC,0.458,0.707,0.5825,0.5825,0.17606959,0.30226539,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_1_SEC,0.111,0.14,0.1255,0.1255,0.0205061,0.16339519,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_2_SEC,0.618,0.944,0.781,0.781,0.23051681,0.29515597,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_20_SEC,1.427,2.373,1.9,1.9,0.66892302,0.35206474,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_50_SEC,0.287,0.389,0.338,0.338,0.07212489,0.21338725,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,-10,CREEP_COMP_20_SEC,0.105,0.108,0.1065,0.1065,0.00212132,0.0199185,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1024,6,8,-10,CREEP_COMP_1_SEC,0.063,0.064,0.0635,0.0635,0.00070711,0.01113554,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_20_SEC,0.224,0.297,0.2605,0.2605,0.0516188,0.19815276,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,-10,CREEP_COMP_2_SEC,0.072,0.072,0.072,0.072,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_100_SEC,0.352,0.488,0.42,0.42,0.09616652,0.22896791,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_10_SEC,1.101,1.841,1.471,1.471,0.52325902,0.35571653,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_5_SEC,0.159,0.206,0.1825,0.1825,0.03323402,0.18210421,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,-10,CREEP_COMP_5_SEC,0.084,0.084,0.084,0.084,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_50_SEC,1.975,3.253,2.614,2.614,0.90368247,0.34570867,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_100_SEC,2.513,4.023,3.268,3.268,1.06773124,0.32672315,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,25,CREEP_COMP_5_SEC,0.848,1.425,1.1365,1.1365,0.40800061,0.35899746,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
4,Arizona,1024,6,8,5,CREEP_COMP_2_SEC,0.128,0.164,0.146,0.146,0.02545584,0.1743551,AH,Representative property from two or more measurements with a coefficient of variation greater than a threshold that is material dependent.
